,query,answer,options,sum_supports
51,Where did John Auer receive his education?,johns hopkins university,"['johns hopkins university', 'medicine', 'new york', 'university school']"," Johns Hopkins University, founded in 1876 by philanthropist Johns Hopkins, is an American private research university in Baltimore, Maryland. It was the first research university in the United States, integrating teaching and research. The university's first president, Daniel Coit Gilman, revolutionized higher education in the U.S. by adopting the concept of a graduate school from Germany's Heidelberg University.

John Auer, an American physiologist and pharmacologist, was a graduate of Johns Hopkins School of Medicine and worked closely with physiologist Samuel James Meltzer at the Rockefeller Institute for Medical Research. Auer is known for his research on the correlation between bronchial asthma and foreign substances, the effects of magnesium on tetany, and the first account of allergic inflammations caused by exposure to xylene, known as Auer's phenomena.

The Johns Hopkins University School of Medicine, located in Baltimore, Maryland, is the academic medical teaching and research arm of Johns Hopkins University. It has consistently been among the nation's top medical schools in the number of research grants awarded by the National Institutes of Health. The school's major teaching hospital, the Johns Hopkins Hospital, was ranked the #1 hospital in the United States for 22 years by ""U.S. News & World Report"". The hospital and school are the founding institutions of modern American medicine and the birthplace of numerous medical traditions, including rounds, residents, housestaff, neurosurgery, cardiac surgery, pediatrics, and child psychiatry.

Lake Ontario, one of the five Great Lakes of North America, is surrounded by the Canadian province of Ontario and the American state of New York. The lake's primary inlet is the Niagara River from Lake Erie, and its outlet to the Atlantic Ocean via the St. Lawrence River. The lake was named for the Huron (Wyandot) language word ""ontarío,"" meaning Lake of Shining Waters. <|end|>"
52,Which production company was behind the creation of the film '100 Mexicanos Dijeron'?,fremantlemedia,"['cbs', 'fremantlemedia', 'nbc']"," ""100 Mexicanos Dijeron"" (A hundred Mexicans said) is a Mexican version of the Goodson-Todman game show Family Feud, produced in Mexico City by the Canal de las Estrellas. Hosted by Marco Antonio Regil from 2001 to 2006 and currently hosted by Adrian Uribe, the show has been seen in the United States on the Telefutura television network. In June 2006, the show moved to Miami, changed its name to ""¿Qué dice la gente?"" (What do people say?), and expanded its survey group to include Latin Americans and Spanish speakers in the United States.

The show features two families competing to name the most popular responses to survey questions in order to win cash and prizes. It is considered a spin-off of ""Match Game,"" which featured original host Richard Dawson. ""The Price Is Right,"" another American television game show franchise, also centers on television game shows and merchandise. The franchise began in 1956 and was revamped in 1972, with Bob Barker as the original host. Since 2007, Drew Carey has hosted the program.

Marco Antonio Regil, born on December 27, 1969, is a television personality, public speaker, and activist. He has hosted the Spanish versions of Family Feud, The Price Is Right, and ""Generation Gap"" (Recuerda y Gana). Regil is a constant fixture in Latin households. Richard Dawson, born on November 20, 1932, was a British-American actor, comedian, game show host, and panelist in the United States. He was well-known for playing Corporal Peter Newkirk on ""Hogan's Heroes"" and for being the original host of ""Family Feud"" from 1976-1985. In 1984, he became an American citizen while retaining his British citizenship.

Match Game is an American television panel game show that premiered on NBC in 1962 and was revived several times over the course of the next few decades. The game features contestants trying to"
53,In which administrative territorial entity is the Fanefjord Church located?,vordingborg municipality,"['atlantic ocean', 'centre', 'denmark', 'earth', 'east', 'england', 'estonia', 'europe', 'finland', 'flint', 'gdańsk', 'gulf', 'helsingborg', 'helsinki', 'livonia', 'most', 'north', 'northern', 'northwest', 'norway', 'of', 'petersburg', 'plain', 'pomeranian voivodeship', 'riga', 'river', 'rock', 'saint petersburg', 'salt', 'scandinavia', 'scania', 'seen', 'south', 'southern region', 'sweden', 'vordingborg municipality', 'west']"," The North European Plain, also known as the Middle European Plain, is a geomorphological region in Europe, primarily located in Poland, Denmark, Germany, Belgium, the Netherlands, and a small part of northern France. Zealand, the largest and most populated island in Denmark, is situated in the Baltic Sea and is home to approximately 2.27 million people as of January 2016. The Gulf of Riga, a bay of the Baltic Sea, lies between Latvia and Estonia. Chalk, a soft, white, porous sedimentary carbonate rock, is a form of limestone composed of the mineral calcite. Calcite is an ionic salt called calcium carbonate or CaCO. It forms under deep marine conditions from the accumulation of minute calcite shells shed by micro-organisms called coccolithophores. Flint, a type of chert unique to chalk, is very common in the region. Møn, an island in Denmark, is part of the municipality of Vordingborg and is known for its white chalk cliffs, countryside, sandy beaches, and the market town of Stege. The sea, a large body of salt water, is divided into five major oceanic sections, including the Atlantic, Pacific, Indian, and Arctic Oceans, and the Southern Ocean. The Gulf of Bothnia, the northernmost arm of the Baltic Sea, lies between Finland's west coast and Sweden's east coast. Finland, a Nordic country situated in Fennoscandia, is the eighth largest country in Europe and the most sparsely populated country in the European Union. Præstø, a town in Denmark, was once a municipality but is now part of Vordingborg Municipality. Gdask, a city in Poland, is the capital of the Pomeranian Voivodeship and the center of the country's fourth-largest metropolitan area. The Gulf of Finland, an eastern arm of the Baltic Sea, extends between Finland and Estonia and includes important oil harbors near Saint Petersburg. The Kattegat or Kattegatt is a sea area bounded by the Jutlandic peninsula, Denmark, and the provinces of Västergötland, Scania, Hall"
54,Which company published the Fable II video game?,microsoft studios,"['22cans', 'box', 'century', 'electronic arts', 'english', 'europe', 'harmony', 'ibm', 'illusion', 'lionhead studios', 'microsoft', 'microsoft studios', 'microsoft windows', 'nintendo', 'samsung', 'sony', 'sony computer entertainment']"," The Xbox 360, developed by Microsoft, is a home video game console that succeeded the original Xbox. Released in 2005, it competed with Sony's PlayStation 3 and Nintendo's Wii during the seventh generation of video game consoles. The Xbox 360 was unveiled on MTV and later detailed at E3.

Microsoft Studios, a subsidiary of Microsoft, is responsible for the development and publishing of games for the Xbox, Xbox 360, Xbox One, and other platforms. The studio was established in 2002 and has developed several popular games, including the Fable series and the Xbox 360 game Fable II.

Fable II is an action role-playing open world video game developed by Lionhead Studios and published by Microsoft Game Studios for Xbox 360. It is the sequel to Fable and Fable: The Lost Chapters, and was released in October 2008. The game takes place in the fictional land of Albion, five hundred years after the original Fable's setting. Players can choose to be either male or female and explore a colonial era resembling the time of highwaymen or the Enlightenment.

The Xbox 360 and Fable II are part of the broader consumer electronics industry, which includes devices used for entertainment, communications, and home-office activities. Microsoft, a major player in this industry, also produces the Windows operating system, which is used in various consumer electronics devices.

In addition to gaming, Microsoft is involved in other sectors of the consumer electronics industry, such as professional audio and medical business. The company's subsidiary, Sony Corporation, is another major player in the industry, with business operations in electronics, motion pictures, music, and financial services.

Overall, the Xbox 360 and Fable II are part of the larger consumer electronics industry, which encompasses various sectors and companies, including Microsoft and Sony. <|end|>"
55,In which language was 'The Secret Magdalene' originally written?,english,"['arabic', 'aramaic', 'biblical aramaic', 'biblical hebrew', 'english', 'greek', 'hebrew', 'instrumental', 'koine greek', 'latin']"," Magdala, an ancient city in Galilee, is mentioned in the Jewish Talmud and the Christian New Testament. The New Testament, a significant part of Christian scripture, discusses Jesus' teachings and his relationship with Mary Magdalene. The Old Testament, the first section of the Christian Bible, is based on the Hebrew Bible and varies in canon among different Christian Churches.

Mary Magdalene, a key figure in Christianity, is said to have been a follower of Jesus and witnessed his crucifixion and resurrection. She is mentioned at least 12 times in the four Gospels, more than most of the apostles.

Music, an art form and cultural activity, uses sound and silence, and its common elements include pitch, rhythm, dynamics, and timbre. It can be performed with various instruments and vocal techniques, and its definition varies among ancient Greek and Indian philosophers.

Vivian Stanshall, an English musician, songwriter, and author, is best known for his work with the Bonzo Dog Doo-Dah Band and his exploration of the British upper classes in ""Sir Henry at Rawlinson End."" He was also the widow of Ki Longfellow, an American novelist and playwright known for her novel ""The Secret Magdalene."" Longfellow's work explores the divine feminine and challenges traditional views of events chronicled in the New Testament. <|end|>"
56,Which language(s) was/were spoken or written by Kim Scott?,australian english,"['australian english', 'coptic', 'english', 'latin']"," Kim Scott, an Australian novelist of Indigenous Australian ancestry, is a descendant of the Western Australian Noongar people. The Noongar, an Indigenous Australian people, traditionally inhabit the south-west corner of Western Australia, from Geraldton to Esperance. They speak dialects of the Noongar language, a member of the Pama-Nyungan language family, but today often speak Australian Aboriginal English combined with Noongar words and grammar.

Circumcision, the removal of the foreskin from the human penis, is a procedure with varying positions among world's major medical organizations. While some consider it to have no benefit and significant risks, others see it as having a modest health benefit that outweighs small risks. The World Health Organization (WHO) recommends considering circumcision as part of a comprehensive HIV prevention program in areas with high rates of HIV, such as Sub-Saharan Africa. However, the effectiveness of circumcision in preventing HIV in the developed world is unclear.

Circumcision is associated with reduced rates of cancer-causing forms of HPV and risk of both UTIs and penile cancer. However, prevention of these conditions is not a justification for routine circumcision of infants. Studies have shown that circumcision performed by medical providers has a typical complication rate of 1.5% for babies and 6% for older children, with few cases of severe complications. Complication rates are higher when the procedure is performed by an inexperienced operator, in unsterile conditions, or when the child is at an older age.

The origin of circumcision is not known with certainty, with theories ranging from religious sacrifice to a rite of passage marking a boy's entrance into adulthood. It is part of religious law in Judaism and is an established practice in Islam, Coptic Christianity, and the Ethiopian Orthodox Church.

Australian Aboriginal English (AAE) is a dialect of Australian English used by a large section of the Indigenous Australian population. It is made up of a number of varieties which developed differently in different parts of Australia. AAE is not to be confused with Kri"
57,In which language was 'Atomic Ed and the Black Hole' originally written?,english,"['basic', 'english', 'french']"," Laurie Anderson, an American avant-garde artist, composer, musician, and film director, has been a prominent figure in the art world since the 1970s. Initially trained in violin and sculpting, Anderson's work has spanned performance art, pop music, and multimedia projects. She gained widespread recognition in 1981 when her single ""O Superman"" reached number two on the UK pop charts. Anderson also starred in and directed the 1986 concert film ""Home of the Brave.""

The avant-garde, characterized by nontraditional, aesthetic innovation, and initial unacceptability, often offers a critique of the relationship between producer and consumer. Karen Bernstein, a Canadian voice actress, is best known for voicing Sailor Mercury in the American dubbing of the first two seasons of ""Sailor Moon."" The manga series was adapted into an anime series, which was broadcast in Japan from 1992 to 1997 and has since been licensed for English language release in North America and Australia/New Zealand.

""Atomic Ed and the Black Hole"" is a documentary released in 2001 by filmmaker Ellen Spiro. The documentary, produced for HBO's Cinemax Reel Life Series, features Laurie Anderson's song ""Big Science"" in its soundtrack. The film follows Ed Grothus, a machinist turned atomic junk collector, who has amassed a collection of non-radioactive high-tech nuclear waste discarded from the Los Alamos National Laboratory. His collection reveals and preserves the history of government waste that was literally thrown in a trash heap.

Performance art, a form of fine art, involves presenting a performance to an audience within a fine art context. It can be scripted or unscripted, random or carefully planned, and may involve audience participation. Performance art can take place anywhere, in any venue or setting, and can last for any length of time. The actions of an individual or group at a particular place and time constitute the work. <|end|>"
58,"What was the better choice for the headquarters location, parking?",hythe,"['alliance', 'bordeaux', 'cambridgeshire', 'canterbury', 'dover', 'east sussex', 'eastleigh', 'england', 'essex', 'europe', 'flint', 'forest', 'france', 'great britain', 'greater london', 'guildford', 'hampshire', 'hard', 'hastings', 'havant', 'hertfordshire', 'hythe', 'indonesia', 'internet', 'italy', 'kent', 'kingston upon thames', 'london', 'lyon', 'maidstone', 'middlesex', 'nottingham', 'oxfordshire', 'pacific', 'paris', 'portsmouth', 'reading', 'rochester', 'rock', 'south bank', 'south east england', 'southampton', 'split', 'surrey', 'united kingdom', 'van', 'venice', 'wales', 'waltham', 'waterside', 'west sussex', 'westminster', 'wiltshire', 'windsor']"," The United Kingdom (UK), comprising England, Scotland, Wales, and Northern Ireland, is a sovereign country in Western Europe with a population of 65.1 million and an area of 242,422 square kilometers. The UK has a rich history, with London being a major settlement for over two millennia and the capital of England and the UK. The country has a diverse geography, including the White Cliffs of Dover, the English Channel, and the Celtic Sea. The UK's coastline is the 12th longest in the world, and it has a significant maritime history, with major ports like Southampton and Dover. The UK is also a member of the European Union, which has developed a single market and common policies on various sectors. The UK's political structure includes the Mayor of London and the London Assembly, which scrutinizes the Mayor's activities and has the power to amend the annual budget and reject draft strategies. The UK's ceremonial counties include Middlesex, Hertfordshire, and Surrey, with county towns like Maidstone and Winchester. The UK's technology sector includes products like the AirPort Extreme, a wireless router and NAS from Apple Inc. The UK's maritime history includes the Port of Dover, the world's busiest passenger port, and the Strait of Dover, the narrowest part of the English Channel. The UK's culture includes historic sites like Canterbury Cathedral and the White Cliffs of Dover. <|end|>"
59,What genre is Soozie Tyrell best known for?,rock music,"['americana', 'history', 'musical', 'play', 'rock', 'rock and roll', 'rock music', 'various']"," The violin, a small and high-pitched instrument in the violin family, is a versatile and significant instrument in various musical genres. It typically has four strings tuned in perfect fifths and is played by drawing a bow across its strings or plucking them with the fingers. The violin is prominent in Western classical music, folk music, country music, bluegrass music, and jazz. It has also been incorporated into non-Western music cultures, such as Indian and Iranian music.

Soozie Tyrell, born on May 4, 1957, is an American violinist and vocalist, best known for her work with Bruce Springsteen in the E Street Band and The Sessions Band. The Sessions Band, an American musical group, has recorded and toured with Springsteen since 1997.

Americana refers to artifacts related to the history, geography, folklore, and cultural heritage of the United States. It encompasses a wide range of materials, including paintings, license plates, household objects, flags, and statues. The term is often used to describe the theme of a museum or collection, or goods for sale.

Bruce Springsteen, born on September 23, 1949, is an American singer-songwriter and the lead member of the E Street Band. Nicknamed ""The Boss,"" Springsteen is known for his poetic lyrics, working-class and sometimes political sentiments, and lengthy and energetic stage performances. He was inducted into the Rock and Roll Hall of Fame in 2014.

The Rock and Roll Hall of Fame and Museum, located in downtown Cleveland, Ohio, was established in 1983 to recognize and archive the history of the best-known and most influential artists, producers, engineers, and other notable figures in rock and roll. Since opening in 1995, the museum has hosted more than 10 million visitors and had a cumulative economic impact estimated at more than $1.8 billion. The E Street Band, Springsteen's primary backing band since 1972, was inducted into the Rock and Roll Hall of Fame in 2014. <|end|>"
60,In which location was the headquarters of G-Funk Entertainment situated?,los angeles,"['agoura hills', 'best', 'born', 'brand', 'california', 'canada', 'el segundo', 'germany', 'hale', 'inglewood', 'jersey', 'los angeles', 'marion', 'new jersey', 'rock', 'street', 'warren', 'weehawken , new jersey', 'young']"," In October 2005, Warren G released his fifth studio album, ""The Mid-Nite Hour,"" through Lightyear Entertainment. The album featured the first single ""Get U Down,"" which included Ice Cube, B-Real, and Snoop Dogg, and the follow-up single ""I Need A Light,"" featuring Nate Dogg. Despite the involvement of notable artists, neither single managed to chart on the Billboard charts. The album peaked at number 80 on the Billboard 200 album chart, selling 14,800 copies in its first week.

""The Mid-Nite Hour"" showcased a laid-back feel, with seven tracks featuring Bishop Lamont. The album was released in El Segundo, California, a city known for its proximity to the Los Angeles County and its own unique identity.

Warren G's ""The Mid-Nite Hour"" was released under G-Funk Entertainment, a vanity label founded by Warren G himself. The label was originally known as G-Funk Records and later renamed Hawino Records. G-Funk Entertainment was a subsidiary of Def Jam Records, which later transferred the label to Restless Records.

The album's production was handled by Warren G, with contributions from other artists such as Bishop Lamont and Nate Dogg. The album's release was part of a broader trend in the music industry, where successful artists would establish their own record labels to release music by other artists they admired.

In the broader context of the music industry, ""The Mid-Nite Hour"" was released during a time when West Coast hip hop was dominating the charts. The genre, characterized by its association with gangsta rap, was popularized by artists such as N.W.A and Dr. Dre. Death Row Records, co-founded by Suge Knight and Dr. Dre, was a major player in the West Coast hip hop scene during this time.

Warren G's ""The Mid-Nite Hour"" was released in a competitive music landscape, with other artists such as Snoop Dogg, Eminem, and 50 Cent also achieving significant success. The album's release was part of a larger trend in the music industry, where artists"
61,What is 'Swallow My Pride' associated with?,homestead records,"['album', 'australia', 'homestead records', 'island', 'pop', 'record', 'record label', 'studio album', 'sub pop', 'warner music group']"," Green River, an American rock band from Seattle, Washington, released their debut studio album ""Rehab Doll"" in June 1988 through Sub Pop Records. The album, which is considered the first grunge record, features the song ""Swallow My Pride,"" written by frontman Mark Arm and guitarist Steve Turner. The song was originally recorded for the band's debut EP ""Come on Down"" in 1985.

The Pacific Ocean, the largest oceanic division, is bounded by the Arctic Ocean in the north, the Southern Ocean in the south, and the continents of Asia and Australia in the west, and the Americas in the east. Seattle, a seaport city in King County, Washington, is situated on an isthmus between Puget Sound and Lake Washington, and is the largest city in the Pacific Northwest region of North America.

Homestead Records, a Long Island, New York-based sublabel of Dutch East India Trading, played a significant role in launching the post-hardcore and noise rock genres. The label was founded in 1984 by Sam Berger, who recommended Gerard Cosloy to take over the label after he left to work with Midnight Records. Cosloy signed many notable acts, including Green River.

Sub Pop Records, founded by Bruce Pavitt in 1986, gained fame in the late 1980s for signing Nirvana, Soundgarden, Mudhoney, and other bands from the Seattle alternative rock scene. The label's last release was Ivo Perelman's ""Cama de terra"" in 1996.

In summary, Green River's ""Rehab Doll"" album, released in 1988, is considered the first grunge record, featuring the song ""Swallow My Pride."" The album was released through Sub Pop Records, a label that played a significant role in launching the grunge movement. Seattle, the city where Green River originated, is a major gateway for trade with Asia and is the largest city in the Pacific Northwest region of North America. <|end|>"
62,What was the country of citizenship of William Vansittart Bowater?,united kingdom,"['american', 'british', 'london', 'united kingdom']"," William Vansittart Bowater (15 March 1838 – 28 April 1907) was a British entrepreneur who founded Bowater, a company that grew to become one of the world's largest producers of newspaper print. Today, Bowater has been divided into various market-leading paper-based products businesses, including Rexam, a British-based American-owned multinational consumer packaging company. Rexam, headquartered in London, is a leading manufacturer of beverage cans with 55 plants in over 20 countries across Asia, Europe, North America, and South America.

In June 2016, Rexam was acquired by the American company Ball Corporation, which is best known for its early production of glass jars, lids, and related products used for home canning. Founded in Buffalo, New York, in 1880 as the Wooden Jacket Can Company, the Ball Corporation has expanded and diversified into other business ventures, including aerospace technology, and became the world's largest manufacturer of recyclable metal beverage and food containers.

Bowater's post-World War II expansion and a 30-year period of consolidation led to the formation of a number of globally leading worldwide paper products companies. These companies continue to build on the legacy of William Vansittart Bowater and his pioneering work in the pulp and paper industry. <|end|>"
63,What sport does Gillingham Town F.C. play?,association football,"['association football', 'football', 'united kingdom']"," England, a country within the United Kingdom, shares borders with Scotland, Wales, and the Irish Sea. It is separated from continental Europe by the North Sea and the English Channel. England covers five-eighths of the island of Great Britain and includes over 100 smaller islands. The County Football Associations, such as the Dorset County Football Association, govern football in England and the Crown dependencies. Dorset County Football Association, founded in 1884, is responsible for administering club and player registration and promoting development.

Wales, a country in the United Kingdom, is bordered by England, the Irish Sea, and the Bristol Channel. It has a population of 3,063,456 and a total area of. Wales is known for its mountainous terrain and maritime climate. Hampshire, a county in southern England, is the most populous ceremonial county in the UK, with a population of almost 1.5 million. It is home to the birthplaces of the Royal Navy, British Army, and Royal Air Force. The Hampshire Football Association oversees football in the county.

The Isles of Scilly, an archipelago off the southwestern tip of the Cornish peninsula, is the most westerly location in England and the United Kingdom. Scotland, a country in the United Kingdom, covers the northern third of the island of Great Britain and shares a land border with England. It is surrounded by the Atlantic Ocean, the North Sea, and the North Channel and Irish Sea. The United Kingdom of Great Britain and Northern Ireland, commonly known as the United Kingdom, is a sovereign country in western Europe with an area of and a population of 65.1 million. It has the 12th-longest coastline in the world and is the fourth most densely populated country in the European Union. <|end|>"
64,What was the record label associated with Ruthless for Life?,ruthless records,"['1995', '1996', 'a & m records', 'album', 'amaru', 'amaru entertainment', 'angel', 'ashanti', 'death row records', 'epic', 'epic records', 'funk', 'ice cube', 'interscope geffen a & m', 'interscope records', 'label', 'loud records', 'morgan creek', 'morgan creek productions', 'record', 'reissue', 'ruthless records', 'sony music entertainment', 'studio album', 'tupac shakur', 'uptown records']"," Thug on da Line is the second studio album by American rapper Krayzie Bone, released in 2001. The album features the single ""Hard Time Hustlin'"" with Sade and includes tracks with guest appearances from Eazy-E, Ice Cube, and Dr. Dre. The album also features Flesh-n-Bone, who was later convicted of assault and spent time in prison. The album was produced by L.T. Hutton, who has worked with various artists including Bone Thugs-N-Harmony and 2Pac. The album was released by Thugline Records, Ruthless Records, and Loud Records, with distribution from Columbia Records and Sony Music. The album reached number 13 on the U.S. Rap chart and number 61 on the U.S. R&B chart. <|end|>"
65,Which international organization is associated with the publisher Cambridge University Press?,university of cambridge,"['cambridge university press', 'century', 'europe', 'oxford university press', 'university of cambridge']"," Henry Oldenburg (c. 1619-1677) was a German theologian, diplomat, and natural philosopher, known for creating the concept of scientific peer review and being one of the most influential intelligencers of Europe in the 17th century. He played a pivotal role in the foundation of the Royal Society, serving as its first Secretary and managing foreign correspondence.

Oxford University Press (OUP), the world's largest university press, is a department of the University of Oxford and is governed by a group of 15 academics appointed by the vice-chancellor. The OUP's chief executive and major representative on other university bodies is the secretary to the delegates. The OUP has used a similar system to oversee the International Organization Foundation (IOF) since the 17th century.

The International Organization is a peer-reviewed academic journal that covers various subjects in international affairs, including foreign policies, international relations, political economy, security policies, environmental disputes, European integration, alliance patterns, war, bargaining and conflict resolution, economic development, and international capital movements. The journal is published by Cambridge University Press (CUP) on behalf of the IOF.

In a 2005 survey, 521 out of 749 international relations scholars listed IO as one of their top four journals. According to the Journal Citation Reports, the journal has a 2014 impact factor of 3.019, ranking it third out of 85 journals in the category ""International Relations.""

Cambridge University Press (CUP) is the world's oldest publishing house, granted letters patent by Henry VIII in 1534. It is the second-largest university press in the world, after Oxford University Press. CUP also holds letters patent as the Queen's Printer.

An academic or scholarly journal is a periodical publication in which scholarship related to a particular academic discipline is published. These journals serve as permanent and transparent forums for the presentation, scrutiny, and discussion of research. The content typically takes the form of articles presenting original research, review articles, and book reviews. The purpose of an academic journal,"
66,Which country is Moonhole located in?,saint vincent and the grenadines,"['atlantic ocean', 'grenada', 'saint vincent and the grenadines', 'trinidad and tobago']"," Moonhole is a private community located on the island of Bequia in the Grenadines, an island country in the Lesser Antilles island arc. Founded by Thomas and Gladys Johnston in the 1960s, Moonhole is a private nature preserve that derives its name from a massive arch formed in volcanic substrate through which the setting moon is sometimes visible. The Johnstons built a house beneath the arch using whalebones, native hardwoods, and objects recovered from the sea. The house had large open rooms with magnificent views of the sea, and the master bath had a large tree growing right through a large hole in the roof.

Moonhole Company Limited was formed by the Johnstons, and they contributed the approximately 30 acre property to the company. Tom bequeathed his controlling interest in the company to a trust for the protection and preservation of Moonhole for posterity. The Thomas and Gladys Johnston Moonhole Conservation Trust Limited is dedicated to preserving the unique architecture, lifestyle, and vision of the Johnstons, as well as protecting the birds, wildlife, and marine life on the peninsula at the western end of Bequia.

There are now eleven privately owned homes at Moonhole and four houses owned by Moonhole Company Limited. The New York Times described Moonhole as a quirky ecologically oriented development built of native stone with whalebone accents, relying on solar electricity, rainwater, and propane tanks.

Kingstown is the capital, chief port, and main commercial center of Saint Vincent and the Grenadines. It is the most populous settlement in the country and lies within the parish of Saint George in the south-west corner of Saint Vincent. Carriacou is an island of the Grenadine Islands located northeast of Grenada and the north coast of South America. Bequia is the second largest island in the Grenadines and is part of Saint Vincent and the Grenadines. The island's name means ""island of the clouds"" in the ancient Arawak language. The unofficial anthem of Bequia is ""Only in Bequia"" by island native Raphael ""Socony"" Holder. <|end|>"
67,What is the political ideology associated with the Christian Democratic Movement?,christian democracy,"['christian democracy', 'democracy', 'liberal', 'right', 'third way']"," The European People's Party (EPP) is a transnational European political party composed of Christian democratic and liberal-conservative parties. Founded in 1976, it has expanded to include parties with centre-right perspectives. The EPP is a member of the International Democrat Union (IDU) and the Centrist Democrat International (CDI), which was renamed in 1982.

Christian democracy is a political ideology that emerged in 19th-century Europe, combining traditional Catholic beliefs with modern democratic ideas. It incorporates social teachings from various Christian denominations and has been influential in Europe and Latin America.

The Christian Democratic Movement (KDH) is a Christian democratic political party in Slovakia. It is a member of the EPP and observer of the CDI. The KDH was established in 1990 and has been led by Ján Fige since 2000. The party has been represented in the Slovak parliament and was part of the government coalition until 2006. In the 2012 parliamentary election, the KDH received 8.82% of the vote and 16 seats in the National Council. In the 2014 European elections, the KDH received 13.21% of the vote and elected 2 MEPs.

The IDU is an international alliance of centre-right political parties, chaired by John Key, former Prime Minister of New Zealand. It comprises 71 full and associate members from 63 countries. The CDI, now known as the Centrist Democrat International, is a global political group dedicated to promoting Christian democracy. Its members are primarily from Europe and Latin America. <|end|>"
68,What was the country of origin for the New Philosophers?,france,"['england', 'france', 'london', 'massachusetts', 'switzerland']"," The New Philosophers, a group of French thinkers who emerged in the early 1970s, challenged the prevailing Marxist ideology and post-structuralism. They were critical of Jean-Paul Sartre and the philosophy of Friedrich Nietzsche and Martin Heidegger. Among them, Bernard-Henri Lévy stood out as a prominent intellectual in France. Lévy, born in 1948, was a media personality and author, and was recognized as one of the leaders of the New Philosophers movement in 1976.

Friedrich Wilhelm Nietzsche, a German philosopher born in 1844, was a significant influence on the New Philosophers. Nietzsche began his career as a classical philologist before turning to philosophy and became the youngest person to hold the Chair of Classical Philology at the University of Basel at the age of 24. However, his health problems led him to resign in 1879, and he completed much of his core writing in the following decade. In 1889, Nietzsche suffered a collapse and a complete loss of his mental faculties, living the remaining years of his life in the care of his mother and sister.

The Boston Globe, an American daily newspaper based in Boston, Massachusetts, has described Lévy as ""perhaps the most prominent intellectual in France today."" The newspaper was founded in 1872 and went public in 1973. In 2013, it was purchased by John W. Henry, a businessman with interests in the Boston Red Sox and Liverpool F.C.

Karl Marx, born in Trier in 1818, was a German-born scientist, philosopher, economist, sociologist, journalist, and revolutionary socialist. Marx developed his thought in collaboration with Friedrich Engels, a German philosopher and social scientist. Engels, born in 1820, founded Marxist theory with Marx and published ""The Condition of the Working Class in England"" in 1845, based on personal observations and research in Manchester.

In summary, the New Philosophers were a group of French thinkers who challenged Marxism and post-struct"
69,Which conflict was Charles R. Stimpson involved in?,world war ii,"['cold war', 'first barbary war', 'second barbary war', 'world war', 'world war ii']"," The United States Armed Forces, comprising the Army, Marine Corps, Navy, Air Force, and Coast Guard, are the federal armed forces of the United States. The President of the United States serves as the military's overall head, working with the U.S. Department of Defense (DoD) to formulate military policy.

The military has played a significant role in the history of the United States, with victories in the First and Second Barbary Wars fostering a sense of national unity and identity. However, the Founders were wary of a permanent military force. The military was crucial during the American Civil War, with many leading generals being selected from its ranks. It wasn't until World War II that a large standing army was officially established.

The National Security Act of 1947, adopted during the Cold War's onset, established the modern U.S. military framework. The Act merged the Department of War and the Department of the Navy into the National Military Establishment, which was later renamed the Department of Defense in 1949. The Act also created the Department of the Air Force and the National Security Council.

The United States Navy (USN) is the naval warfare service branch of the United States Armed Forces and one of the seven uniformed services of the United States. It is the largest and most capable navy in the world, with the highest combined battle fleet tonnage. The USN has the world's largest aircraft carrier fleet, with ten in service, two in the reserve fleet, and three new carriers under construction. It has 323,792 personnel on active duty and 108,515 in the Navy Reserve, with 274 deployable combat vessels and more than 3,700 aircraft in active service.

Charles R. Stimpson was a United States Navy fighter ace in the Second World War, serving from 1919 to 1983. <|end|>"
70,In which year was the JetLink Express service established?,2006,"['10', '100', '1858', '1891', '1946', '1964', '1967', '1977', '20', '2006', '2014', '22', '30', '50', '635', '7', '7 july 2000', 'july 2000', 'july 2014', 'may 2014']"," Kenya is a country in East Africa, known for its diverse landscapes and rich history. Nairobi, the capital city, is home to Jomo Kenyatta International Airport, the busiest airport in the country. The airport serves as a hub for Kenya Airways, the national carrier, and other airlines like Fly540 and Jambojet.

Kenya's history is deeply intertwined with its first president, Jomo Kenyatta, who led the country from independence in 1963 until his death in 1978. Kenyatta is considered the founding father of the Kenyan nation and played a significant role in the establishment of the East African Community (EAC), a regional intergovernmental organization comprising six countries in the African Great Lakes region.

The East African Rift (EAR) is a significant geological feature in Kenya, stretching from Lake Victoria to the Indian Ocean. The rift zone is home to Lake Victoria, the largest lake in Africa, and Lake Turkana, also known as Lake Rudolf.

Kenya's wildlife is abundant, with the lion being one of the most iconic species. The African lion, a member of the Felidae family, is the second-largest living cat after the tiger. However, the lion population in Kenya has declined by 30% over the past two decades, primarily due to habitat loss and human-wildlife conflicts.

The country's economy is diverse, with agriculture, tourism, and manufacturing playing significant roles. Kenya's economy has experienced steady growth, with a GDP of $95.5 billion in 2019. The country's currency is the Kenyan shilling, and its main industries include agriculture, manufacturing, and services.

Kenya's education system is characterized by a mix of public and private institutions, with primary and secondary education being free and compulsory for children aged 6 to 13. The country has made significant strides in improving access to education, with a literacy rate of 81.5% in 2017.

In conclusion, Kenya is a vibrant and diverse country with a rich history, abundant wild"
