,query,answer,options,sum_supports
108,Which language(s) was/were spoken or written by Elizabeth Clare Prophet?,english,"['english', 'german', 'latin', 'swedish']"," Amos Gitai is an Israeli filmmaker known for his documentaries and feature films that focus on the Middle East and the Jewish-Arab conflict. Over the course of 38 years, he has created more than 90 works of art, with his films being showcased in prestigious venues such as the Pompidou Center Paris, the Museum of Modern Art (MoMA) New York, the Lincoln Center New York, and the British Film Institute London.

Gitai's work has been recognized with numerous awards, including seven entries in the Cannes Film Festival's Palme d'Or category and the Venice Film Festival's Golden Lion award between 1999 and 2011. He has collaborated with renowned actors such as Juliette Binoche, Natalie Portman, and Hanna Schygulla, and has worked with French filmmaker Marie-José Sanselme since 2000.

Amos Gitai's film ""Alila"" (2003) follows six diverse characters in modern-day Israel, allowing him to comment on the country's top social issues. The film received mixed reviews, with some praising its boldness and entertainment value, while others criticized its lack of likable characters and the director's jaundiced view of humanity.

Gitai's cinematographer, Henri Alekan, was a French filmmaker who worked on numerous films, including ""Alila."" Alekan's work contributed to the visual storytelling of Gitai's films, helping to bring his unique perspective on the Middle East and its conflicts to life on the screen. <|end|>"
109,What is the ethnic group of Hurao?,chamorro people,"['asia', 'chamorro', 'chamorro people', 'spaniards']"," En carne viva is a 1954 Argentine film directed by Enrique Cahen Salaberry and starring Alberto Closas and Ana Mariscal. Alberto Closas, a prolific Spanish film actor, appeared in the Cinema of Argentina during the 1940s and 1950s, and later in Spanish cinema after 1955. Barcelona, the capital city of Catalonia in Spain, is the second most populous municipality in the country, with a population of around 4.7 million people within its urban area. It is the largest metropolis on the Mediterranean Sea, located between the mouths of the rivers Llobregat and Besòs, and bounded by the Serra de Collserola mountain range.

Ana Mariscal, a classic Spanish film actress, director, screenwriter, and film producer, was also involved in acting in Argentine films. She was born in 1923 and passed away in 1995. The film En carne viva, which translates to ""In Living Color,"" showcases the talents of both Closas and Mariscal, and is a significant part of Argentine and Spanish cinema history. <|end|>"
110,What sport is associated with the Jordan 199?,motorsport,"['auto racing', 'formula one', 'motorsport', 'sport']"," Publius Decius Mus and Pyrrhus of Epirus were two prominent figures in ancient Roman and Greek history, respectively. Publius Decius Mus, a Roman politician and general, was the son of another consul, Publius Decius Mus. In 279 BC, Decius Mus, alongside his fellow consul Publius Sulpicius Saverrio, led their combined armies against Pyrrhus of Epirus at the Battle of Asculum. Despite Pyrrhus' victory, the battle resulted in heavy losses for both sides, leading to the term ""Pyrrhic victory.""

Pyrrhus, a Greek general and statesman, was the king of the Molossians, a Greek tribal state and kingdom, and later became the king of Epirus and Macedon. He was a formidable opponent of early Rome and engaged in several battles against them. However, his victories often came at a great cost, as seen in the Battle of Asculum.

The Hellenistic period, which spanned from the death of Alexander the Great in 323 BC to the emergence of the Roman Empire in 31 BC, was a time of significant cultural and scientific advancements in the Mediterranean region. Greek cultural influence and power reached its peak during this era, with progress in arts, literature, philosophy, and science. New forms of comedy, poetry, and religious beliefs emerged, while Greek science flourished with the works of Euclid and Archimedes.

The Molossians, an ancient Greek tribal state and kingdom, inhabited the region of Epirus since the Mycenaean era. They were part of the League of Epirus until they sided against Rome in the Third Macedonian War (171168 BC). The result was disastrous for the Molossians, as the Romans enslaved 150,000 of its inhabitants and annexed the region into the Roman Republic.

In summary, Publius Decius Mus and Pyrrhus of Epirus were two influential figures in ancient history, with Decius Mus playing a key role in the Battle of Asculum against Pyrrhus. The Hellenistic period, marked by cultural and scientific advancements, saw the rise of"
111,What is the ethnic group of Chios?,greeks,"['greece', 'greek', 'greeks']"," Led Zeppelin, an English rock band formed in 1968, is renowned for their heavy, guitar-driven sound that blends blues, psychedelia, and folk music. The band, consisting of Jimmy Page, Robert Plant, John Paul Jones, and John Bonham, became one of the pioneers of heavy metal, despite their unique style drawing from a wide range of influences.

The band's music was characterized by call-and-response patterns, blues scales, specific chord progressions, and blue notes, with the twelve-bar blues being the most common. Their live performances were highly popular, with hundreds of sold-out concerts around the world from 1968 to 1980.

The band's music was recorded at Broadcasting House, the headquarters of the British Broadcasting Corporation (BBC), in London. The BBC's first radio broadcast was made on March 15, 1932, and the main building, designed in Art Deco style, was officially opened on May 15, 1932. The BBC Radio Theatre, located in the building, was used for recording music and speech programs in front of a studio audience.

The band's lead vocalist, Robert Plant, was known for his powerful and wide vocal range, which contributed to his successful solo career spanning over 30 years. Plant was regarded as one of the greatest singers in the history of rock and roll, influencing fellow rock singers such as Freddie Mercury, Axl Rose, and Chris Cornell.

The band's song ""The Girl I Love She Got Long Black Wavy Hair"" was recorded by the BBC on June 16, 1969, during the band's UK Tour of Summer 1969. The song was later included on the live Led Zeppelin album BBC Sessions, released in 1997. This is the only known performance of the song by the band, as no other audio document has been unearthed of it being performed live at Led Zeppelin concerts. The guitar riff played by Jimmy Page in the song is similar to that played on the later Led Zeppelin track ""Moby Dick.""

In summary, Led Zeppelin was an influential English rock"
112,Where was Paul L. Kirk born?,colorado springs,"['1942', 'atlantic ocean', 'bar', 'bay village , ohio', 'berkeley', 'calgary', 'california', 'canada', 'cleveland', 'colorado', 'colorado springs', 'columbus', 'court', 'edmonton', 'england', 'gap', 'give', 'great britain', 'groves', 'ii', 'island', 'lead', 'legal', 'los alamos', 'managua', 'manhattan', 'media', 'most', 'nicaragua', 'normal', 'northern ireland', 'of', 'ohio', 'pacific', 'rates', 'rocky mountains', 'side', 'springs', 'toronto', 'tradition', 'union', 'united kingdom', 'united states military academy', 'vancouver', 'west point', 'winnipeg']"," Brown County, located in Indiana, is home to 15,242 people as of 2010, with Nashville serving as the county seat. John Hafen, a landscape artist born in Switzerland in 1856, was one of a group of painters who studied in Paris under the sponsorship of The Church of Jesus Christ of Latter-day Saints (LDS Church) in 1890. This group of artists was preparing to paint murals at the Salt Lake Temple, a significant LDS Church temple located on Temple Square in Salt Lake City, Utah. The Salt Lake Temple, dedicated in 1893, is the largest LDS temple by floor area and the sixth temple completed by the church. It required 40 years to complete and is the fourth temple built since the Mormon exodus from Nauvoo, Illinois, in 1846.

Indiana, a U.S. state in the midwestern and Great Lakes regions, was admitted to the United States as the 19th state on December 11, 1816. Its capital and largest city is Indianapolis. The state is the 38th largest by area and the 16th most populous of the 50 United States.

Jesus, a central figure in Christianity, was a Galilean Jew who was baptized by John the Baptist and began his ministry around 30 AD. He debated fellow Jews on how to best follow God, performed healings, taught in parables, and gathered followers. After his crucifixion, his followers believed he rose from the dead, and the community they formed eventually became the Christian Church.

Temple Square, located in Salt Lake City, Utah, is a complex owned by the LDS Church. It includes the Salt Lake Temple, Salt Lake Tabernacle, Salt Lake Assembly Hall, the Seagull Monument, and two visitors' centers. Utah, a state in the western United States, was admitted to the U.S. as the 45th state on January 4, 1896. It is the 13th-largest by area, 31st-most-populous, and 10th-least-"
113,What type of literary work is Egil's Saga?,literary work,"['12', 'age', 'anonymous', 'archipelago', 'area', 'assembly', 'book', 'century', 'character', 'christianization', 'circle', 'city', 'concept', 'conquest', 'country', 'cultural region', 'england', 'eponym', 'era', 'event', 'extension', 'function', 'god', 'history', 'home', 'information', 'invasion', 'language', 'law', 'literary work', 'mythology', 'name', 'number', 'office', 'parliament', 'parliament building', 'part', 'period', 'person', 'plateau', 'poetry', 'population', 'prologue', 'prose', 'protagonist', 'range', 'region', 'republic', 'saga', 'sea', 'september', 'term', 'tradition', 'two', 'vikings', 'year']"," The Scottish Unionist Party, also known as the Scottish Unionist Party outside Scotland, was the main centre-right political party in Scotland from 1912 to 1965. The party avoided using the term Conservative until 1965. Wigtownshire was a constituency of the House of Commons of the Parliament of Great Britain from 1708 to 1801 and of the Parliament of the United Kingdom from 1801 to 1918. It was represented by one Member of Parliament. Hew Hamilton Dalrymple, the son of John Dalrymple, 10th Earl of Stair, won the seat at a by-election in 1915 and held it until it was abolished in 1918.

The Parliament of Great Britain was formed in 1707 following the ratification of the Acts of Union by both the Parliament of England and the Parliament of Scotland. The Acts created a new unified Kingdom of Great Britain and dissolved the separate English and Scottish parliaments in favor of a single parliament located in the former home of the English parliament in the Palace of Westminster, near the City of London. This arrangement lasted nearly a century until the Acts of Union 1800 merged the separate British and Irish Parliaments into a single Parliament of the United Kingdom, effective from 1 January 1801.

Scotland is a country that is part of the United Kingdom and covers the northern third of the island of Great Britain. It shares a border with England to the south and is surrounded by the Atlantic Ocean, with the North Sea to the east and the North Channel and Irish Sea to the south-west. In addition to the mainland, Scotland is made up of more than 790 islands, including the Northern Isles and the Hebrides. <|end|>"
114,What is the taxon rank of Murid herpesvirus 4?,species,"['domain', 'family', 'form', 'genus', 'group', 'kingdom', 'order', 'species', 'subfamily']"," Moquegua, a department in southern Peru, is known for its unique architecture and cultural heritage. The city of Moquegua, the capital of the Moquegua Region, is a political, administrative, cultural, economic, and commercial center. The traditional architecture of Moquegua is characterized by slanted roofs and trapezoidal shapes, reflecting the creativity of its people.

The region of Moquegua extends from the coast to the highlands and is home to the Torata District, one of six districts in the province Mariscal Nieto. The Andes Mountains, the longest continental mountain range in the world, run through the region, spanning seven South American countries.

Peru, a South American country, is located in western-central South America and is bordered by Ecuador, Colombia, Brazil, Bolivia, Argentina, Chile, and the Pacific Ocean. Peru is an extremely biodiverse country with habitats ranging from the arid plains of the Pacific coastal region to the peaks of the Andes mountains and the tropical Amazon Basin rainforest.

The Amazon River, the largest river by discharge of water in the world, originates in the Andes Mountains and flows through Peru, Brazil, Colombia, Ecuador, Guyana, Peru, Suriname, and Venezuela. The Amazon basin covers about 40% of the South American continent and is home to diverse wildlife, ecological systems, and extensive natural resources.

Bolivia, a landlocked country in western-central South America, is bordered by Brazil, Paraguay, Argentina, Chile, and Peru. One-third of Bolivia is the Andean mountain range, and the country is the largest landlocked country in the Americas.

The Amazon basin and the Andes Mountains are two significant geographical features in South America. The Amazon basin covers about 40% of the continent and is home to the Amazon River, the largest river by discharge of water in the world. The Andes Mountains, the longest continental mountain range in the world, run through seven South American countries and are home to diverse ecosystems and natural resources.

In summary, Moquegua, Peru, is a region with a rich cultural heritage and unique architecture. The region is"
115,Which performer is known for the song 'Stay'?,kamaljit singh jhooti,"['1997', 'a', 'asia', 'can', 'cornershop', 'culture club', 'girls', 'india', 'indian ocean', 'industry', 'kamaljit singh jhooti', 'keith richards', 'london', 'november', 'ocean', 'roy orbison', 'south', 'talvin singh', 'the human league', 'the smashing pumpkins', 'time', 'uk', 'various', 'virgin']"," ""The Divorcee"" (1930) is a pre-Code drama film directed by Robert Z. Leonard, based on the novel ""Ex-Wife"" by Ursula Parrott. The film stars Norma Shearer as the leading lady, with Lionel Barrymore, Clark Gable, and Leslie Howard in supporting roles. The story revolves around an alcoholic defense attorney, played by Lionel Barrymore, who must defend his daughter's ex-boyfriend on a murder charge. The film became famous for Barrymore's monologue, which earned him an Academy Award nomination for Best Actor.

The film also features Clark Gable in his first screen appearance alongside Shearer, which would later lead to his rise as a leading man in Hollywood. The Barrymore family, known for their acting prowess, also makes an appearance in the film.

The film's success led to the creation of the Dr. Kildare series, with Norma Shearer reprising her role in the 1937 film ""Internes Can't Take Money."" The character of Dr. Kildare was later adapted into a radio series, a television series, and a comic book and comic strip.

The film's setting in Hollywood, the home of the U.S. film industry, further emphasizes the importance of the film industry in shaping American culture and society. The film industry has been a significant part of Los Angeles' identity, with Hollywood being synonymous with the industry and its people.

In conclusion, ""The Divorcee"" is a significant film in American cinema history, not only for its storyline and performances but also for its impact on the film industry and Hollywood's cultural significance. The film's success led to the creation of the Dr. Kildare series, which further solidified the film industry's influence on American society. <|end|>"
116,What was the instance of Trilobyte?,video game developer,"['1', '12', '1975', 'acronym', 'adventure game', 'animated cartoon', 'apple', 'arena', 'association', 'bill', 'brain', 'case', 'community', 'company', 'computer', 'corporate identity', 'data', 'day', 'december', 'design', 'fine', 'four', 'franchise', 'game', 'great dane', 'identity', 'information', 'label', 'live action', 'mission', 'mode', 'name', 'october', 'operation', 'organization', 'part', 'person', 'perspective', 'plot', 'professional', 'puzzle', 'service', 'single', 'software', 'standard', 'store', 'syndrome', 'television', 'term', 'trade', 'trademark', 'two', 'video', 'video game', 'video game developer']"," A. Merritt, Bucky Fuller, Tiffany Thayer, Frank Lloyd Wright, Ivan Sanderson, Ben Hecht, Newton Tarkington, Alexander Woollcott, Charles Fort, Theodore Dreiser, Vincent Gaddis, H. L. Mencken, and Henry Louis Mencken were influential figures in the realms of fantastic fiction, architecture, biology, screenwriting, literature, journalism, and cultural criticism.

Abraham Merritt was a fantastic fiction writer, while Buckminster Fuller was an architect, systems theorist, author, designer, and inventor. Tiffany Thayer was an actor, author, and founder of the Fortean Society, which promoted the ideas of Charles Fort, a writer specializing in anomalous phenomena. Wright, known for his organic architecture, designed over 1,000 structures, including Fallingwater. Sanderson was a biologist and writer with an interest in cryptozoology and paranormal subjects. He also wrote fiction under the name Terence Roberts.

Hecht was a versatile writer, screenwriter, director, producer, playwright, and novelist, with credits for numerous films and books. Tarkington was a renowned novelist and dramatist, winning the Pulitzer Prize for Fiction twice. Woollcott was a critic, commentator, and member of the Algonquin Round Table.

The Fortean Society, founded in 1931, aimed to promote Charles Fort's ideas. Its first president was Theodore Dreiser, and founding members included Tiffany Thayer, Booth Tarkington, Ben Hecht, Alexander Woollcott, and H. L. Mencken. Vincent Gaddis and Ivan Sanderson were also members. Thayer later took over editorship of the society's newsletter, ""Doubt,"" and used it to express his political views.

Gaddis popularized the term ""Bermuda Triangle"" and wrote about anomalous and paranormal phenomena. Mencken was a cultural critic and scholar of American English, known for his satirical reporting on the Scopes trial. Dreiser was a naturalist novelist and journalist, with best-known novels ""Sister Carrie"" and ""An American"
117,What is the occupation of Seigi Choujin?,toei animation,"['history', 'japan', 'toei animation']"," The Xbox 360, developed by Microsoft, was the second console in the Xbox series and competed with Sony's PlayStation 3 and Nintendo's Wii during the seventh generation of video game consoles. Launched in 2005, it featured a variety of games, including those developed by Cat Daddy Games, a developer known for its ""Tycoon"" series and ""Carnival Games"" series for the Wii, Nintendo DS, and Xbox 360.

The Wii, released by Nintendo in 2006, targeted a broader demographic than its competitors and broke sales records in the United States. The Nintendo DS, released in 2004, introduced features like dual screens and a touchscreen, and supported wireless connectivity.

Ski Resort Tycoon II, a business simulation game, allowed players to create and manage a ski resort, aiming to achieve a 5-star rating. The game was developed by Cat Daddy Games, which also developed Ski Resort Tycoon and Ski Resort Extreme.

Take-Two Interactive, an American video game publisher, owned Cat Daddy Games and published various game series, including ""Grand Theft Auto,"" ""Civilization,"" and ""BioShock."" Activision, a subsidiary of Activision Blizzard, owned Cat Daddy Games before Take-Two Interactive.

Electronic Arts (EA), founded in 1982, was a pioneer in the early home computer games industry and promoted the designers and programmers responsible for its games. The company faced controversies over its advertising efforts and acquisitions of other studios. <|end|>"
118,What is the instance of Cape Bojador?,city,"['1', 'area', 'atlas', 'city', 'coast', 'country', 'definition', 'desert', 'disputed territory', 'era', 'formation', 'islamic republic', 'ocean', 'part', 'people', 'population', 'region', 'republic', 'seven', 'state', 'territory']"," The Continental Congress, which served as the first national government of the United States during the American Revolution, was presided over by a president elected by the delegates. This position was largely ceremonial and unrelated to the later office of President of the United States. John Quincy Adams, the son of President John Adams, was a prominent statesman who served as the sixth President of the United States from 1825 to 1829. He also held positions as a diplomat, Senator, and member of the House of Representatives.

Christ Church, located in Quincy, Massachusetts, is a historic church building that was constructed in 1874. It is believed to be the oldest continuously active parish in Massachusetts and was listed on the National Register of Historic Places in 1989. The current rector of the church is Rev. Clifford Brown.

The Episcopal Diocese of Massachusetts is one of the nine original dioceses of the Episcopal Church in the United States of America. Massachusetts, the most populous state in the New England region, was originally dependent on agriculture, fishing, and trade but transformed into a manufacturing center during the Industrial Revolution. In the 20th century, the state's economy shifted from manufacturing to services, making it a global leader in biotechnology, engineering, higher education, finance, and maritime trade.

Boston, the capital and most populous city of Massachusetts, is the economic and cultural anchor of the Greater Boston metropolitan area, which is home to a population of 4.7 million people. The city is also the seat of Suffolk County, although the county government was disbanded in 1999. The city proper covers an estimated population of 667,137 in 2015, making it the largest city in New England and the 23rd most populous city in the United States.

The National Register of Historic Places is the United States federal government's official list of districts, sites, buildings, structures, and objects deemed worthy of preservation. Properties listed in the National Register, or located within a National Register Historic District, may qualify for tax incentives derived from the total value of expenses incurred preserving the property.

Quincy"
119,What was the occupation of Juliusz Konstanty Ordon?,officer,"['army', 'bank', 'guard', 'leader', 'lieutenant', 'major', 'member', 'military', 'military leader', 'mountain', 'officer', 'official', 'tsar', 'ukraine']"," A county seat is the administrative center of a county or civil parish, serving as the seat of government or capital city. The term is used in various countries, including the United States, Canada, Romania, China, and Taiwan. In the United Kingdom and Ireland, county towns have a similar function.

Dewey Starkey was an American assistant director who worked on 41 films between 1930 and 1944. He won an Academy Award in 1933 for Best Assistant Director. Starkey was born in Ohio and died in Orange County, California. Orange County is a populous county in California, with a population of 3,010,232 as of the 2010 census. Its county seat is Santa Ana.

James McTeigue is an Australian film director who has worked as an assistant director on many films, including the ""Matrix trilogy"" and ""V for Vendetta."" He made his directorial debut with ""V for Vendetta"" in 2006. McTeigue has collaborated with the Wachowskis three times as a director.

Sir Alfred Joseph Hitchcock was an English film director and producer, known as ""The Master of Suspense."" He pioneered many elements of the suspense and psychological thriller genres. Hitchcock moved to Hollywood in 1939 and became a US citizen in 1955.

The daily call sheet is a filmmaking term for the schedule crafted by the assistant director. It informs the cast and crew of a film production about where and when they should report for a particular day of filming.

Ohio is an Eastern state in the Great Lakes region of the United States. It is the 34th largest by area, the 7th most populous, and the 10th most densely populated of the 50 United States. The state's capital and largest city is Columbus.

The Great Lakes are a series of interconnected freshwater lakes located primarily in the upper mid-east region of North America, on the Canada-United States border. They connect to the Atlantic Ocean through the Saint Lawrence River and contain 21% of the world's surface fresh water by volume. The five Great Lakes are Super"
120,In which administrative territorial entity is the Ngawha Geothermal Field located?,northland region,"['auckland', 'auckland council', 'auckland region', 'australia', 'caledonia', 'district', 'earth', 'east timor', 'far north', 'fiji', 'france', 'futuna', 'gulf', 'indonesia', 'kaikohe', 'loyalty islands', 'mainland', 'maui', 'metropolitan france', 'most', 'mountain', 'murray', 'new caledonia', 'new zealand', 'north', 'north island', 'northland region', 'northwest', 'of', 'pacific ocean', 'papua', 'south', 'south island', 'southwest', 'springs', 'sydney', 'tasmania', 'taupo', 'tonga', 'tongatapu', 'wellington', 'wellington region']"," Princeton University, a private Ivy League research university in Princeton, New Jersey, is known for its academic excellence and selectivity in admissions. The Ivy League, comprising eight private institutions of higher education in the Northeastern United States, is also associated with social elitism. The University of Virginia (UVA), founded by Thomas Jefferson in 1819, is a public flagship and research university in Virginia. Virginia, nicknamed the ""Old Dominion"" and the ""Mother of Presidents,"" is a state in the Mid-Atlantic region of the United States. The geography and climate of Virginia are shaped by the Blue Ridge Mountains and the Chesapeake Bay.

The athletic teams of Princeton University are called the Princeton Tigers, and they compete in 31 varsity sports. The Tigers have won several NCAA national championships, including one in men's fencing, six in men's lacrosse, three in women's lacrosse, and eight in men's golf. The men's and women's crews have also won numerous national rowing championships. In 2012, the field hockey team made history as the first Ivy League team to win the Division I NCAA Championship.

Gresham Hough Poe, an American football player and coach, was the head coach of the University of Virginia football program from 1903 to 1903. Prior to that, he played as a substitute quarterback for the Princeton Tigers. Poe was a member of the Poe Brothers, six celebrated football players who played at Princeton in the late 19th and early 20th century. Poe was also a noted wrestler and a second cousin, twice removed of American author Edgar Allan Poe. During World War I, he served in the United States Army and fought in France. Poe graduated from Princeton in 1902. <|end|>"
121,What is the instance of 'jlab'?,software,"['abstraction', 'algorithm', 'area', 'benchmark', 'computer hardware', 'corporation', 'definition', 'design', 'environment', 'fluid', 'formula', 'generation', 'headquarters', 'humans', 'information', 'interface', 'laboratory', 'language', 'mathematics', 'matrix', 'may', 'physics', 'process', 'programming', 'programming language', 'rank', 'reasoning', 'science', 'sequence', 'software', 'space', 'style', 'user', 'user interface', 'weather']"," The United States dropped atomic bombs on the Japanese cities of Hiroshima and Nagasaki in August 1945, marking the only use of nuclear weapons in warfare. This action, taken with the consent of the United Kingdom as per the Quebec Agreement, resulted in the deaths of at least 129,000 people. The bombings were part of the final stage of World War II, a global conflict that lasted from 1939 to 1945 and involved over 30 countries. The war was characterized by mass civilian casualties, including the Holocaust, which saw the systematic murder of approximately six million Jews, including 1.5 million children.

The Battle of Maastricht was a key engagement during the German Campaign on the Western Front. The objective was to capture the Belgian Fort Eben-Emael, a neutralized fortress that had been taken by glider-borne German troops in May 1940. The fort's capture was crucial for the Germans to advance into Belgium and split the Allied forces.

Fort Eben-Emael, located between Liège and Maastricht on the Belgian-Dutch border, was constructed between 1931 and 1935 and was considered impregnable at the time. The successful neutralization of the fort by the Germans paved the way for their ground forces to enter Belgium without facing fire from the fort. The fort has since been preserved and is open for public visitation.

In summary, the United States' use of atomic bombs on Hiroshima and Nagasaki, the Battle of Maastricht, and the capture of Fort Eben-Emael were significant events during World War II. The war resulted in an estimated 50 million to 85 million fatalities, making it the deadliest conflict in human history. The Holocaust, a genocide carried out by Nazi Germany, claimed the lives of six million Jews and five million non-Jewish victims. <|end|>"
122,Which political party was Ian MacLaren a member of?,progressive conservative party of canada,"['conservative party', 'progressive conservative party of canada', 'the right', 'tories']"," The Susa Valley, located in northern Italy, is the longest valley in the country, stretching from the French border to the outskirts of Turin. It is named after the city of Susa, which lies within the valley. The Dora Riparia river flows through the valley, which is part of the cultural and geographical region of Northern Italy. This region consists of eight regions: Aosta Valley, Piedmont, Liguria, Lombardy, Emilia-Romagna, Veneto, Friuli-Venezia Giulia, and Trentino-Alto Adige/Südtirol.

Turin, the capital city of Piedmont, is an important business and cultural center in Northern Italy. It is located in the western bank of the Po River, in front of the Susa Valley and surrounded by the western Alpine arch and Superga Hill. The city has a population of 892,649 (August 2015) and an estimated urban area population of 1.7 million. The Turin metropolitan area has a population of 2.2 million.

Courland, also known as Kurzeme, is a historical and cultural region of Latvia. It was once ruled by the same duke as Semigallia and Selonia. Anna Ioannovna, also known as Anna Ivanovna, was the regent of Courland from 1711 to 1730 and later ruled as Empress of Russia from 1730 to 1740.

Carlo Antonio Bertinazzi, known as Carlin, was an Italian actor and author who performed in the commedia dell'arte from 1741 until his death. He is best known for his role as Harlequin. Carlin traveled with Giacomo Casanova's mother, Zanetta Farussi, to St Petersburg to perform for Empress Anna of Russia, but returned to Italy shortly after as the empress did not approve of his comedy. <|end|>"
123,What was the place of birth of Andriy Sokolovskyy?,moscow,"['diamond', 'eu', 'france', 'golden', 'italy', 'march', 'marino', 'moscow', 'of', 'peninsula', 'republic', 'rome', 'san marino', 'switzerland']"," Potters Bar, a town in Hertfordshire, England, is situated near the Fir and Pond Woods nature reserve and is part of the East of England region. Bedford, the county town of Bedfordshire, has a population of 107,590, while the urban area has about 122,943 residents. Hertfordshire, an East Anglian county, is bordered by Bedfordshire, Cambridgeshire, Essex, and other counties. The county town of Hertfordshire is Hertford, with a population of around 26,000. Cambridgeshire, formed in 1974, contains most of the region known as Silicon Fen. Bedfordshire, a ceremonial county, is governed by three unitary authorities. Southern England, or the South of England, refers to the southern counties of England and can have different interpretations depending on context. London, the capital of England and the United Kingdom, is a major settlement on the River Thames. Buckinghamshire, a county in South East England, borders Greater London and other counties. <|end|>"
124,In which decade was the album 'letting go' released?,two,"['1970s', '1990s', 'a', 'album', 'alternative', 'as', 'be', 'california', 'collective', 'd', 'earshot', 'electric', 'fourth', 'go', 'is', 'jazz', 'kingdom', 'laid', 'letting go', 'lp', 'mainstream', 'metal', 'mini', 'music', 'new', 'new wave', 'often', 'plans', 'post', 'release', 'released', 'rhythm and blues', 'riffs', 'rock', 'rock and roll', 'rock music', 'roots', 'sometimes', 'the silver lining', 'this', 'three', 'to be', 'two', 'united kingdom', 'y', 'y .']"," Ancient Greek, a language used in ancient Greece and the ancient world from around the 9th century BC to the 6th century AD, is divided into the Archaic, Classical, and Hellenistic periods. Analytic philosophy, dominant in English-speaking countries since the early 20th century, focuses on clarity and logical analysis. Ethics, derived from the Ancient Greek word ""ethikos,"" is a branch of philosophy concerned with concepts of right and wrong conduct. Gertrude Elizabeth Margaret Anscombe, a prominent British analytic philosopher, wrote on philosophy of mind, action, logic, language, and ethics. She introduced the term ""consequentialism"" and influenced contemporary virtue ethics. Her work ""Intention"" is considered her greatest contribution. Philosophical logic, a subfield of philosophy, uses recognized methods of logic to solve philosophical problems. Analytical Thomism is a philosophical movement that promotes the exchange of ideas between Saint Thomas Aquinas's thought and modern analytic philosophy. Colin McGinn, a British philosopher, has held teaching posts and professorships at various universities and has contributed to the interchange of ideas between Thomism and analytic philosophy. <|end|>"
125,In which administrative territorial entity is Sisakht located?,central district,"['afghanistan', 'anatolia', 'armenia', 'azerbaijan', 'basin', 'central district', 'china', 'district', 'earth', 'east', 'egypt', 'europe', 'georgia', 'greece', 'gulf', 'india', 'indian', 'iran', 'iraq', 'jordan', 'karabakh', 'kazakhstan', 'kuwait', 'most', 'nakhchivan', 'near east', 'north west', 'northwest', 'noun', 'of', 'oman', 'pakistan', 'pashto', 'russia', 'saudi arabia', 'south', 'southwest', 'tajikistan', 'tehran', 'tehran province', 'turkey', 'turkmenistan', 'west', 'yemen']"," Ubisoft Entertainment SA, a French video game publisher, is known for developing popular franchises such as ""Assassin's Creed"", ""Far Cry"", and ""Tom Clancy's Ghost Recon"". The PlayStation 2, developed by Sony Computer Entertainment, was a home console released in the late 1990s, competing with other sixth-generation consoles.

""AND 1 Streetball"" is a streetball video game developed by Black Ops Entertainment and published by Ubisoft. Released in 2006, the game features the 2005 AND 1 roster and is officially licensed by the company. A mobile version of the game was also released by Gameloft.

NBA Jam, developed by Midway in 1993, is a basketball arcade game that brought mainstream success to the genre. The gameplay is based on ""Arch Rivals"", another basketball game. Midway also developed ""NFL Blitz"", a football-themed game inspired by ""NBA Jam"".

NFL 2K is an American football video game series developed by Visual Concepts and published by Sega. The series became the primary ""2K"" title and led to the creation of 2K Sports. The franchise has sold over 100 million copies and has influenced many players and coaches of the physical sport.

Madden NFL, developed by EA Tiburon and published by EA Sports, is an American football video game series named after Pro Football Hall of Famer John Madden. The series has generated over $4 billion in revenue and features realistic features such as sophisticated playbooks and player statistics.

Midway Games was an American video game developer and publisher, known for titles such as ""Mortal Kombat"", ""Ms. Pac-Man"", and ""NFL Blitz"". The company was acquired by Warner Bros. and turned into NetherRealm Studios, which currently owns the rights to the ""Mortal Kombat"" franchise. <|end|>"
126,What was the occupation of James Stuart?,politician,"['advocate', 'judge', 'politician', 'soldier']"," Finland, officially the Republic of Finland, is a Nordic country in Northern Europe. It is bordered by Sweden to the northwest, Norway to the north, and Russia to the east. Finland is the most sparsely populated country in the European Union and the eighth largest in Europe. The country is known for its thousands of lakes, extensive forests, and numerous islands.

The capital city of Finland is Helsinki, which is located in the southern region of the country. The majority of Finland's population is concentrated in this area, with the southern region being the most densely populated. The northern region of Finland, including the city of Luleå, is less densely populated and has a colder climate.

Luleå is a city located on the north coast of the Gulf of Bothnia, in the province of Norrbotten County. It is the capital of Norrbotten County and has a population of around 75,000 people. The city is known for its beautiful beaches and is a popular tourist destination.

The Baltic Sea is a marginal sea of the Atlantic Ocean, enclosed by Scandinavia, Finland, the Baltic countries, and the North European Plain. It is connected to the Atlantic Ocean by the Danish straits and is bordered by nine countries, including Finland. The Baltic Sea is known for its unique ecosystem and is home to a diverse range of marine life.

Norway is a Scandinavian country located in Northern Europe. It is known for its stunning fjords, mountains, and coastal landscapes. Norway is a constitutional monarchy with a parliamentary system of government. The capital city of Norway is Oslo, which is located in the southern part of the country.

The European Union (EU) is a political and economic union of 27 member states located primarily in Europe. The EU has developed an internal single market through a standardized system of laws that apply in all member states. The EU policies aim to ensure the free movement of people, goods, services, and capital within the internal market, enact legislation in justice and home affairs, and maintain common policies on trade, agriculture, fisheries, and regional development.

Denmark is a Scandinavian country located in Northern Europe. It"
